,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_inch,Weight_pounds,Price-binned,Screen-Full HD,Screen-IPS_panel
53,53,Dell,4,1,1,7,33.02,0.6206896551724138,8,256,1.4,1184,13.000000000000002,0.6349206349206349,Low,False,True
54,54,HP,3,3,1,7,35.56,0.6206896551724138,8,256,1.63,1310,14.0,0.7392290249433106,Low,True,False
55,55,Dell,4,2,1,5,35.56,0.5517241379310345,8,256,1.6,1460,14.0,0.7256235827664399,Low,True,False
56,56,Dell,3,1,2,5,39.62,0.5517241379310345,8,256,2.2,860,15.598425196850393,0.997732426303855,Low,True,False
57,57,Toshiba,4,2,1,7,33.78,0.8620689655172414,8,256,1.2,1731,13.299212598425196,0.5442176870748299,Medium,True,False
58,58,Acer,3,3,1,7,39.62,0.9310344827586208,8,256,2.2,1057,15.598425196850393,0.997732426303855,Low,True,False
59,59,Asus,3,3,1,5,39.62,0.8620689655172414,8,256,2.0,977,15.598425196850393,0.9070294784580498,Low,True,False
60,60,Dell,3,2,1,5,35.56,0.8620689655172414,8,256,1.6,1091,14.0,0.7256235827664399,Low,True,False
61,61,Dell,3,1,2,7,39.62,0.9310344827586208,16,256,1.8622317596566522,1142,15.598425196850393,0.8445495508646949,Low,True,False
62,62,Acer,1,3,1,5,38.1,0.8620689655172414,8,256,2.5,1075,15.0,1.1337868480725624,Low,False,True
63,63,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.56,1117,15.598425196850393,1.1609977324263039,Low,True,False
64,64,Asus,1,3,1,7,43.94,1.0,16,256,3.6,3810,17.299212598425196,1.6326530612244898,High,True,False
65,65,Acer,3,3,1,3,43.18,0.9310344827586208,4,256,3.0,892,17.0,1.3605442176870748,Low,False,True
66,66,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.41,1206,13.299212598425196,0.6394557823129251,Low,True,False
67,67,Lenovo,3,2,1,7,39.62,0.6206896551724138,8,256,2.05,1118,15.598425196850393,0.929705215419501,Low,True,False
68,68,Dell,3,1,2,7,39.62,0.6206896551724138,8,256,1.8622317596566522,934,15.598425196850393,0.8445495508646949,Low,True,False
69,69,Lenovo,1,3,1,5,38.1,0.8620689655172414,8,256,2.5,1053,15.0,1.1337868480725624,Low,False,True
70,70,Lenovo,3,2,1,5,39.62,0.8620689655172414,6,256,2.2,735,15.598425196850393,0.997732426303855,Low,True,False
71,71,Acer,3,3,1,7,38.1,0.6206896551724138,8,256,3.0,1208,15.0,1.3605442176870748,Low,False,True
72,72,Lenovo,3,2,1,7,38.1,0.9310344827586208,8,256,1.95,1394,15.0,0.8843537414965986,Low,False,True
73,73,Asus,4,3,1,5,39.62,0.8620689655172414,8,256,1.7,1241,15.598425196850393,0.7709750566893424,Low,True,False
74,74,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,2.0,2323,15.598425196850393,0.9070294784580498,Medium,True,False
75,75,Lenovo,3,2,1,5,39.62,0.5517241379310345,8,256,2.05,939,15.598425196850393,0.929705215419501,Low,True,False
76,76,Acer,3,3,2,7,39.62,0.9655172413793103,8,256,2.5,1244,15.598425196850393,1.1337868480725624,Low,True,False
77,77,Dell,5,3,1,7,43.94,1.0,16,256,3.42,3665,17.299212598425196,1.5510204081632653,High,True,False
78,78,Toshiba,3,3,1,7,38.1,0.8620689655172414,8,256,2.2,1325,15.0,0.997732426303855,Low,False,True
79,79,Lenovo,3,2,1,5,33.02,0.8620689655172414,8,256,1.1,1269,13.000000000000002,0.4988662131519275,Low,False,True
80,80,HP,3,2,1,5,35.56,0.8620689655172414,8,256,1.95,1245,14.0,0.8843537414965986,Low,True,False
81,81,HP,3,2,1,7,35.56,0.9310344827586208,8,256,1.48,1641,14.0,0.6712018140589568,Medium,True,False
82,82,Asus,3,2,1,7,35.56,0.9310344827586208,8,256,2.0,1390,14.0,0.9070294784580498,Low,True,False
83,83,Asus,4,3,1,7,39.62,0.9310344827586208,8,256,1.7,1334,15.598425196850393,0.7709750566893424,Low,True,False
84,84,HP,4,2,1,7,31.75,0.9310344827586208,8,256,1.26,1696,12.5,0.5714285714285714,Medium,True,False
85,85,Toshiba,3,2,1,5,38.1,0.8620689655172414,8,256,2.0,1198,15.0,0.9070294784580498,Low,False,True
86,86,Asus,1,3,1,7,39.62,0.9655172413793103,8,256,2.5,1269,15.598425196850393,1.1337868480725624,Low,True,False
87,87,HP,3,2,1,5,35.56,0.896551724137931,8,256,1.48,1611,14.0,0.6712018140589568,Low,True,False
88,88,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.84,1453,15.598425196850393,0.8344671201814059,Low,True,False
89,89,Dell,3,3,1,5,39.62,0.5517241379310345,8,256,2.0,1452,15.598425196850393,0.9070294784580498,Low,True,False
90,90,Dell,4,2,1,7,33.78,0.6206896551724138,8,256,1.2,2006,13.299212598425196,0.5442176870748299,Medium,True,False
91,91,HP,3,2,1,7,39.62,0.9310344827586208,8,256,1.84,1656,15.598425196850393,0.8344671201814059,Medium,True,False
92,92,HP,5,3,1,7,39.62,0.9655172413793103,8,256,2.6,2208,15.598425196850393,1.1791383219954648,Medium,True,False
93,93,Dell,3,2,1,5,35.56,0.896551724137931,8,256,1.36,1813,14.0,0.6167800453514739,Medium,True,False
94,94,Asus,3,2,1,5,35.56,0.8620689655172414,8,256,2.0,1200,14.0,0.9070294784580498,Low,True,False
95,95,Dell,3,1,1,7,39.62,0.9310344827586208,8,256,2.33,1142,15.598425196850393,1.056689342403628,Low,True,False
96,96,HP,4,2,1,7,35.56,0.9310344827586208,8,256,1.36,2223,14.0,0.6167800453514739,Medium,False,True
97,97,Lenovo,3,3,1,5,35.56,0.8620689655172414,8,256,1.5,1396,14.0,0.6802721088435374,Low,False,True
98,98,Lenovo,3,2,1,3,33.02,0.8275862068965517,4,128,1.5,697,13.000000000000002,0.6802721088435374,Low,False,True
99,99,Dell,5,3,1,7,38.1,0.9310344827586208,8,256,2.0,2712,15.0,0.9070294784580498,Medium,False,True
